REGION,COUNTY_FIP,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,DEMOCRAT,LIBERTARIAN,GREEN,OTHER,REPUBLICAN,VOTED_TOTAL,DID_NOT_VOTE,APATHY_PERCENT,8B_R,8B_G,8B_B,HexCode,RB_DIFF,RB_DECREASE_FACTOR,TEMP1-8B_G_MIN,TEMP2-8B_G_SIMPLE,8B_R_ADV,8B_G_ADV,8B_B_ADV,HexAdvanced
3,11001,District of Columbia,District of Columbia,689548,670839,669037,670949,678972,40699,21719,38289,36723,37601,317323,2036,1726,4685,18586,344356,348202,0.502776663,14,14,235,0E0EEB,221,0.1,14,6,14,17,235,0E11EB
3,1001,Alabama,Autauga County,58809,58915,59203,59726,60342,484,484,484,484,484,7503,0,0,429,19838,27770,31629,0.532483712,182,69,69,B64545,113,0.417647059,69,4,181,71,68,B54744
3,1003,Alabama,Baldwin County,231768,233227,239439,246531,253507,3549,3448,3351,3468,3493,24578,0,0,1557,83544,109679,126996,0.536583923,194,57,57,C23939,137,0.347058824,57,4,193,59,56,C13B38
3,1005,Alabama,Barbour County,25229,24969,24533,24700,24585,2721,2482,2248,2702,2702,4816,0,0,80,5622,10518,16933,0.616844559,136,117,117,887575,19,0.694117647,117,2,135,118,116,877674
3,1007,Alabama,Bibb County,22301,22188,22359,21986,21868,2141,2060,1994,2025,1894,1986,0,0,84,7525,9595,14653,0.604297262,200,53,53,C83535,147,0.317647059,53,2,200,54,53,C83635
3,1009,Alabama,Blount County,59130,59107,59079,59516,59816,616,616,616,616,616,2640,0,0,237,24711,27588,32135,0.538067411,228,24,24,E41818,204,0.15,24,2,228,25,24,E41918
3,1011,Alabama,Bullock County,10360,10229,10143,10143,9897,1705,1631,1578,1648,1615,3446,0,0,21,1146,4613,7247,0.611045531,63,63,190,3F3FBE,127,0.376470588,63,1,63,63,190,3F3FBE
3,1013,Alabama,Butler County,19046,19025,18890,18668,18382,285,285,285,285,285,3965,0,0,65,5458,9488,9822,0.508648369,147,107,107,936B6B,40,0.632352941,107,2,146,108,106,926C6A
3,1015,Alabama,Calhoun County,116441,116243,115678,115780,116429,5632,5554,5407,5749,5936,15216,0,0,666,35101,50983,70814,0.581410051,176,76,76,B04C4C,100,0.455882353,76,3,175,77,75,AF4D4B
3,1017,Alabama,Chambers County,34772,34651,34488,34164,34079,860,860,856,860,860,6365,0,0,166,8753,15284,20227,0.569598153,146,106,106,926A6A,40,0.632352941,106,3,145,107,105,916B69
3,1019,Alabama,Cherokee County,24973,24969,25074,25353,25666,278,278,278,278,278,1624,0,0,94,10583,12301,12946,0.512773795,219,34,34,DB2222,185,0.205882353,34,2,219,35,34,DB2322
3,1021,Alabama,Chilton County,45011,45057,45259,45848,46431,388,388,388,388,388,3073,0,0,152,16085,19310,26135,0.575090769,212,41,41,D42929,171,0.247058824,41,2,212,42,41,D42A29
3,1023,Alabama,Choctaw County,12669,12626,12548,12431,12252,66,66,66,66,66,3127,0,0,41,4296,7464,5228,0.411913016,147,107,107,936B6B,40,0.632352941,107,1,147,107,107,936B6B
3,1025,Alabama,Clarke County,23091,22987,22740,22574,22337,372,372,372,372,372,5755,0,0,56,7324,13135,10224,0.43768997,142,112,112,8E7070,30,0.661764706,112,1,142,112,112,8E7070
3,1027,Alabama,Clay County,14237,14212,14170,14183,14111,258,258,258,258,258,1267,0,0,62,5601,6930,7540,0.521078093,206,47,47,CE2F2F,159,0.282352941,47,2,206,48,47,CE302F
3,1029,Alabama,Cleburne County,15057,15064,15156,15372,15639,174,174,174,174,174,675,0,0,68,6484,7227,8011,0.525725161,229,24,24,E51818,205,0.147058824,24,2,229,25,24,E51918
3,1031,Alabama,Coffee County,53459,53549,54199,54840,55643,764,706,673,702,761,5076,0,0,300,16899,22275,31980,0.589438761,193,58,58,C13A3A,135,0.352941176,58,3,192,59,57,C03B39
